Arrow Name              	Arrow Definition                	Arrow Note                      	Arrow Source            	Arrow Source Type       	Arrow Dest.             	Arrow Dest. Type        	
                        	                                	                                	                        	                        	Глажка после  пошива    	Control                 	

Логисты                 	                                	                                	{ Border }              	Mechanism               	Составление точного     	Mechanism               	
                        	                                	                                	                        	                        	плана производства и    	                        	
                        	                                	                                	                        	                        	доставки товара         	                        	

Накладная на готовую    	                                	                                	Украшение               	Output                  	Проверка качества       	Input                   	
одежду                  	                                	                                	                        	                        	                        	                        	

Накладная после гладки  	                                	                                	Глажка                  	Output                  	Пошив                   	Input                   	

                        	                                	                                	Глажка после  пошива    	Output                  	Украшение               	Input                   	

Накладная после обрезки 	                                	                                	Обрезка ткани           	Output                  	Хранилище накладных     	Data Store              	
ткани                   	                                	                                	                        	                        	                        	                        	

Накладная после покроя  	                                	                                	Покрой                  	Output                  	Глажка                  	Input                   	

Накладная после пошива  	                                	                                	Пошив                   	Output                  	Глажка после  пошива    	Input                   	

Накладная после разметки	                                	                                	Разметка ткани для      	Output                  	Хранилище накладных     	Data Store              	
ткани                   	                                	                                	покроя                  	                        	                        	                        	

Накладная с проверкой   	                                	                                	Проверка качества       	Output                  	Страховка товара        	Input                   	
кажества                	                                	                                	                        	                        	                        	                        	

                        	                                	                                	                        	                        	Доставка товара         	Input                   	

Нитки                   	                                	                                	{ Border }              	Input                   	Пошив                   	Input                   	

                        	                                	                                	                        	                        	Украшение               	Input                   	

Нормативный документ    	                                	                                	{ Border }              	Control                 	Пошив образца           	Control                 	
фабрики                 	                                	                                	                        	                        	                        	                        	

                        	                                	                                	                        	                        	Составление и подписание	Control                 	
                        	                                	                                	                        	                        	договора с заказчиком   	                        	

                        	                                	                                	                        	                        	Составление точного     	Control                 	
                        	                                	                                	                        	                        	плана производства и    	                        	
                        	                                	                                	                        	                        	доставки товара         	                        	

Образцы одежды          	                                	                                	Пошив образца           	Output                  	Составление точного     	Input                   	
                        	                                	                                	                        	                        	плана производства и    	                        	
                        	                                	                                	                        	                        	доставки товара         	                        	

                        	                                	                                	                        	                        	Покрой                  	Input                   	

пакинг-лист             	                                	                                	                        	                        	Составление и подписание	Input                   	
                        	                                	                                	                        	                        	договора с заказчиком   	                        	

План производства и     	                                	                                	Составление точного     	Output                  	Покрой                  	Input                   	
доставки                	                                	                                	плана производства и    	                        	                        	                        	
                        	                                	                                	доставки товара         	                        	                        	                        	

                        	                                	                                	                        	                        	Пошив                   	Input                   	

                        	                                	                                	                        	                        	Украшение               	Input                   	

                        	                                	                                	                        	                        	Проверка качества       	Input                   	

                        	                                	                                	                        	                        	Заключение договора с   	Input                   	
                        	                                	                                	                        	                        	перевозчиком            	                        	

                        	                                	                                	                        	                        	Доставка товара         	Input                   	

Поглаженные детали      	                                	                                	Глажка                  	Output                  	Пошив                   	Input                   	

Пошитая одежда          	                                	                                	Пошив                   	Output                  	Глажка после  пошива    	Input                   	

Правила кроя, шитья     	                                	                                	{ Border }              	Control                 	Покрой                  	Control                 	

                        	                                	                                	                        	                        	Пошив                   	Control                 	

Предоплата              	                                	                                	{ Border }              	Input                   	Составление точного     	Input                   	
                        	                                	                                	                        	                        	плана производства и    	                        	
                        	                                	                                	                        	                        	доставки товара         	                        	

                        	                                	                                	                        	                        	Страховка товара        	Input                   	

Приблизительный план    	                                	                                	                        	                        	Составление и подписание	Input                   	
производства и доставки 	                                	                                	                        	                        	договора с заказчиком   	                        	

Проглаженная одежда     	                                	                                	Глажка после  пошива    	Output                  	Украшение               	Input                   	

Размеченная ткань       	                                	                                	Разметка ткани для      	Output                  	Обрезка ткани           	Input                   	
                        	                                	                                	покроя                  	                        	                        	                        	

Руководство             	                                	                                	{ Border }              	Mechanism               	Составление и подписание	Mechanism               	
                        	                                	                                	                        	                        	договора с заказчиком   	                        	

Страховые документы     	                                	                                	Страховка товара        	Output                  	Доставка товара         	Input                   	

Технолог                	                                	                                	{ Border }              	Mechanism               	Составление точного     	Mechanism               	
                        	                                	                                	                        	                        	плана производства и    	                        	
                        	                                	                                	                        	                        	доставки товара         	                        	

                        	                                	                                	                        	                        	Проверка качества       	Mechanism               	

Ткань                   	                                	                                	{ Border }              	Input                   	Покрой                  	Input                   	

Утверждение качества    	                                	                                	Пошив образца           	Output                  	Составление и подписание	Input                   	
образцов коллекции      	                                	                                	                        	                        	договора с заказчиком   	                        	

Фирменные лекала        	                                	                                	{ Border }              	Input                   	Пошив                   	Input                   	

Фурнитура               	                                	                                	{ Border }              	Input                   	Украшение               	Input                   	

Швейный и покроечный    	                                	                                	{ Border }              	Mechanism               	Покрой                  	Mechanism               	
станок                  	                                	                                	                        	                        	                        	                        	

                        	                                	                                	                        	                        	Пошив                   	Mechanism               	

                        	                                	                                	                        	                        	Украшение               	Mechanism               	

Швея, покройщик         	                                	                                	{ Border }              	Mechanism               	Пошив образца           	Mechanism               	

                        	                                	                                	                        	                        	Покрой                  	Mechanism               	

                        	                                	                                	                        	                        	Пошив                   	Mechanism               	

Юрист, бугалтер         	                                	                                	{ Border }              	Mechanism               	Составление и подписание	Mechanism               	
                        	                                	                                	                        	                        	договора с заказчиком   	                        	

                        	                                	                                	                        	                        	Страховка товара        	Mechanism               	

                        	                                	                                	                        	                        	Заключение договора с   	Mechanism               	
                        	                                	                                	                        	                        	перевозчиком            	                        	

